id_entrega,fecha,zona,tipo_pedido,clima,trafico,tiempo_entrega,retraso
118,2025-03-13 14:12:02.520157,San Miguel,Tienda en línea,Soleado,Alto,47,11
119,2025-03-18 13:05:39.771303,Santa Ana,Tienda en línea,Lluvioso,Medio,39,13
120,2025-07-23 04:06:31.254444,Santa Ana,Tienda en línea,Lluvioso,Medio,40,17
121,2025-06-07 14:22:26.213114,San Miguel,Restaurante,Nublado,Medio,59,20
122,2025-03-30 09:00:22.879013,San Miguel,Supermercado,Nublado,Alto,52,15
123,2025-08-02 13:01:18.604144,San Salvador,Supermercado,Nublado,Medio,49,24
124,2025-06-22 02:12:19.940886,Santa Ana,Tienda en línea,Lluvioso,Bajo,24,2
125,2025-04-03 14:09:26.326782,San Miguel,Restaurante,Soleado,Medio,28,7
126,2025-05-20 14:27:17.178774,La Libertad,Restaurante,Soleado,Alto,41,8
127,2025-08-25 21:47:51.609708,La Libertad,Supermercado,Nublado,Alto,30,0
128,2025-06-03 09:56:52.895588,Santa Ana,Supermercado,Lluvioso,Alto,56,27
129,2025-07-20 13:07:07.847531,San Miguel,Supermercado,Lluvioso,Alto,66,26
130,2025-03-30 03:23:47.761914,Santa Ana,Tienda en línea,Lluvioso,Alto,35,8
131,2025-06-13 03:02:12.935187,La Libertad,Restaurante,Lluvioso,Alto,62,25
132,2025-04-15 21:22:33.555673,San Salvador,Supermercado,Nublado,Bajo,37,9
133,2025-06-16 15:10:30.159105,San Salvador,Supermercado,Lluvioso,Bajo,32,11
134,2025-04-12 02:35:23.612634,San Miguel,Supermercado,Lluvioso,Medio,45,10
135,2025-06-05 22:23:12.610383,San Miguel,Supermercado,Lluvioso,Alto,52,16
136,2025-07-18 09:49:15.522953,San Salvador,Tienda en línea,Soleado,Alto,55,29
137,2025-07-24 22:00:42.223732,La Libertad,Farmacia,Soleado,Alto,37,1
138,2025-03-26 22:40:03.965557,Santa Ana,Supermercado,Soleado,Medio,23,0
139,2025-05-06 06:52:00.991886,Santa Ana,Tienda en línea,Soleado,Alto,33,0
140,2025-06-21 10:21:17.418789,San Salvador,Farmacia,Lluvioso,Alto,42,21
141,2025-06-22 14:33:00.800669,San Miguel,Tienda en línea,Lluvioso,Medio,50,14
142,2025-06-22 15:02:50.456952,Santa Ana,Farmacia,Nublado,Bajo,42,10
143,2025-06-25 04:05:15.497715,Santa Ana,Tienda en línea,Lluvioso,Medio,54,16
144,2025-08-19 06:16:35.697425,San Salvador,Restaurante,Nublado,Medio,53,32
145,2025-06-19 16:05:55.263812,Santa Ana,Restaurante,Lluvioso,Medio,61,33
146,2025-06-21 11:08:32.983785,Santa Ana,Restaurante,Lluvioso,Bajo,26,0
147,2025-07-04 08:31:28.666852,Santa Ana,Restaurante,Soleado,Alto,57,31
148,2025-03-13 02:53:42.037779,Santa Ana,Tienda en línea,Lluvioso,Bajo,45,23
149,2025-05-20 01:09:49.304808,San Salvador,Supermercado,Lluvioso,Medio,39,12
150,2025-06-12 08:28:36.661521,La Libertad,Tienda en línea,Soleado,Medio,53,18
151,2025-08-14 12:14:36.921590,San Salvador,Tienda en línea,Nublado,Alto,53,22
152,2025-03-26 11:47:00.016317,Santa Ana,Restaurante,Soleado,Alto,35,1
153,2025-04-22 21:07:14.291434,San Miguel,Supermercado,Nublado,Bajo,18,0
154,2025-08-11 18:40:30.350609,San Salvador,Farmacia,Soleado,Medio,26,0
155,2025-05-29 10:38:28.217252,San Salvador,Farmacia,Soleado,Bajo,37,6
156,2025-03-26 18:29:05.832195,La Libertad,Supermercado,Nublado,Medio,48,26
157,2025-05-28 18:40:51.302138,San Salvador,Farmacia,Nublado,Alto,60,27
158,2025-03-19 14:40:45.210971,La Libertad,Supermercado,Lluvioso,Bajo,26,0
159,2025-03-11 15:44:44.290222,La Libertad,Restaurante,Soleado,Bajo,22,0
160,2025-06-14 14:36:11.597336,San Salvador,Restaurante,Lluvioso,Medio,37,16
161,2025-06-29 15:12:41.752832,San Salvador,Supermercado,Soleado,Alto,54,15
162,2025-05-17 05:42:20.564490,San Miguel,Supermercado,Soleado,Alto,48,24
163,2025-06-04 13:47:09.208921,La Libertad,Tienda en línea,Soleado,Bajo,40,4
164,2025-08-27 22:39:58.341530,Santa Ana,Farmacia,Nublado,Alto,43,11
165,2025-04-12 20:24:41.303236,La Libertad,Farmacia,Nublado,Medio,36,0
166,2025-04-02 00:11:20.125129,La Libertad,Supermercado,Nublado,Medio,54,28
167,2025-06-03 18:09:26.929566,San Miguel,Tienda en línea,Soleado,Medio,29,4
168,2025-05-15 15:18:38.562467,San Miguel,Farmacia,Soleado,Bajo,44,18
169,2025-06-11 07:49:50.045899,San Salvador,Tienda en línea,Nublado,Medio,36,0
170,2025-06-21 09:23:11.469701,Santa Ana,Tienda en línea,Nublado,Bajo,24,0
171,2025-07-19 01:37:47.097679,San Miguel,Supermercado,Nublado,Alto,30,0
172,2025-04-24 13:17:33.491907,San Salvador,Supermercado,Lluvioso,Bajo,53,20
173,2025-08-22 01:51:39.528056,San Miguel,Farmacia,Nublado,Alto,52,17
174,2025-07-23 22:10:52.381786,La Libertad,Supermercado,Lluvioso,Medio,66,45
175,2025-05-20 04:44:20.161720,San Salvador,Supermercado,Soleado,Bajo,16,0
176,2025-05-29 02:54:37.333856,San Salvador,Supermercado,Soleado,Medio,36,6
177,2025-04-08 05:59:56.111807,Santa Ana,Farmacia,Lluvioso,Bajo,35,0
178,2025-03-31 22:16:41.621791,San Miguel,Restaurante,Soleado,Alto,61,31
179,2025-03-07 09:35:34.494899,San Salvador,Tienda en línea,Soleado,Bajo,44,22
180,2025-06-07 23:53:17.256338,San Salvador,Supermercado,Soleado,Bajo,23,0
181,2025-08-28 01:16:14.187288,San Miguel,Tienda en línea,Lluvioso,Bajo,42,8
182,2025-06-27 03:33:48.745234,Santa Ana,Restaurante,Nublado,Alto,35,2
183,2025-04-04 04:19:04.706273,San Salvador,Farmacia,Nublado,Medio,28,0
184,2025-04-10 10:36:24.215245,San Miguel,Supermercado,Nublado,Medio,37,12
185,2025-03-16 05:13:28.551710,San Salvador,Supermercado,Nublado,Medio,37,14
186,2025-08-14 21:13:41.457762,Santa Ana,Farmacia,Nublado,Alto,50,28
187,2025-05-19 01:20:27.147739,San Miguel,Farmacia,Lluvioso,Alto,43,3
188,2025-03-17 06:30:24.179148,Santa Ana,Restaurante,Soleado,Medio,39,15
189,2025-03-16 17:51:15.127934,La Libertad,Farmacia,Soleado,Medio,41,21
190,2025-06-15 19:18:35.360349,San Salvador,Farmacia,Soleado,Bajo,41,11
191,2025-04-16 03:52:10.119478,San Miguel,Farmacia,Lluvioso,Bajo,42,6
192,2025-07-15 10:33:42.868751,San Salvador,Tienda en línea,Soleado,Bajo,24,2
193,2025-03-13 04:06:06.478821,San Salvador,Tienda en línea,Lluvioso,Bajo,36,7
194,2025-08-09 00:02:07.200917,La Libertad,Tienda en línea,Soleado,Alto,40,9
195,2025-03-18 07:46:48.096755,La Libertad,Restaurante,Soleado,Bajo,17,0
196,2025-08-19 05:10:44.748272,Santa Ana,Farmacia,Nublado,Alto,44,13
197,2025-08-18 00:15:12.380348,Santa Ana,Supermercado,Lluvioso,Bajo,56,19
198,2025-06-08 04:19:37.039202,San Miguel,Restaurante,Nublado,Alto,60,37
199,2025-05-07 23:55:31.935396,La Libertad,Supermercado,Lluvioso,Bajo,52,16
200,2025-05-02 15:22:01.631550,La Libertad,Supermercado,Nublado,Bajo,40,16
201,2025-06-19 02:55:43.705355,La Libertad,Supermercado,Nublado,Alto,56,26
202,2025-07-16 03:20:55.428767,La Libertad,Farmacia,Nublado,Bajo,31,0
203,2025-08-17 02:34:33.108980,La Libertad,Farmacia,Lluvioso,Bajo,30,0
204,2025-08-07 00:53:51.744086,La Libertad,Tienda en línea,Lluvioso,Bajo,52,18
205,2025-08-10 07:41:56.639849,San Miguel,Farmacia,Nublado,Medio,54,25
206,2025-04-27 07:56:40.840299,La Libertad,Restaurante,Lluvioso,Medio,56,18
207,2025-03-16 08:14:33.801724,San Salvador,Farmacia,Soleado,Medio,53,33
208,2025-03-08 10:00:24.719661,Santa Ana,Farmacia,Nublado,Bajo,20,0
209,2025-05-11 11:08:27.911315,San Miguel,Restaurante,Nublado,Medio,38,0
210,2025-04-24 17:58:47.877439,San Salvador,Restaurante,Nublado,Alto,43,12
211,2025-05-23 18:01:48.222782,San Salvador,Tienda en línea,Lluvioso,Medio,63,43
212,2025-05-07 07:42:21.787167,Santa Ana,Farmacia,Soleado,Alto,35,9
213,2025-05-10 11:05:14.282865,San Miguel,Supermercado,Lluvioso,Bajo,41,4
214,2025-05-04 00:40:01.527591,Santa Ana,Restaurante,Nublado,Bajo,21,1
215,2025-08-04 08:56:54.891706,Santa Ana,Restaurante,Nublado,Medio,40,16
216,2025-06-20 15:50:10.641201,San Salvador,Supermercado,Lluvioso,Alto,61,30
217,2025-06-26 14:40:25.515247,Santa Ana,Restaurante,Nublado,Medio,39,5
218,2025-06-06 12:49:48.475113,San Salvador,Farmacia,Lluvioso,Bajo,45,15
219,2025-05-01 07:21:52.631036,Santa Ana,Supermercado,Soleado,Medio,45,20
220,2025-06-09 14:57:38.881896,Santa Ana,Supermercado,Lluvioso,Bajo,31,10
221,2025-04-30 07:17:58.091499,San Salvador,Farmacia,Soleado,Medio,55,33
222,2025-07-19 15:36:11.578595,Santa Ana,Supermercado,Soleado,Bajo,19,0
223,2025-04-30 10:42:45.212330,La Libertad,Tienda en línea,Nublado,Alto,58,27
224,2025-05-25 15:11:14.535723,San Miguel,Restaurante,Soleado,Medio,50,19
225,2025-08-13 17:16:40.228922,San Salvador,Farmacia,Nublado,Alto,29,3
226,2025-06-12 14:11:21.980023,Santa Ana,Supermercado,Nublado,Alto,34,0
227,2025-04-11 18:45:24.783671,Santa Ana,Tienda en línea,Soleado,Medio,46,21
228,2025-08-04 10:50:40.919554,La Libertad,Restaurante,Nublado,Bajo,23,0
229,2025-06-28 06:23:48.192925,Santa Ana,Restaurante,Nublado,Medio,38,8
230,2025-05-28 00:38:42.923771,La Libertad,Farmacia,Nublado,Alto,45,10
231,2025-03-15 07:32:37.531982,Santa Ana,Restaurante,Soleado,Medio,20,0
232,2025-06-11 03:37:26.319094,San Salvador,Farmacia,Lluvioso,Bajo,45,20
233,2025-06-30 19:59:44.630962,San Salvador,Tienda en línea,Nublado,Bajo,30,0
234,2025-03-31 00:34:14.018808,La Libertad,Restaurante,Lluvioso,Medio,41,9
235,2025-08-18 03:23:30.777268,La Libertad,Restaurante,Soleado,Alto,37,9
236,2025-08-21 03:50:35.705035,La Libertad,Tienda en línea,Soleado,Bajo,29,3
237,2025-03-30 01:57:05.846488,La Libertad,Restaurante,Nublado,Alto,54,23
238,2025-05-09 19:33:19.218450,San Salvador,Tienda en línea,Lluvioso,Bajo,25,0
239,2025-06-21 22:22:15.875594,San Salvador,Farmacia,Soleado,Alto,44,9
240,2025-03-26 00:37:40.682265,San Miguel,Farmacia,Lluvioso,Alto,50,14
241,2025-08-06 04:54:08.126338,San Salvador,Restaurante,Lluvioso,Alto,54,19
242,2025-06-06 09:17:46.014541,La Libertad,Tienda en línea,Nublado,Medio,49,17
243,2025-06-03 00:56:14.226027,San Salvador,Farmacia,Lluvioso,Alto,60,25
244,2025-04-30 10:55:31.756226,San Salvador,Farmacia,Soleado,Alto,37,13
245,2025-07-25 01:37:46.717337,San Miguel,Restaurante,Lluvioso,Bajo,32,0
246,2025-06-06 10:13:00.935360,San Salvador,Farmacia,Soleado,Medio,40,18
247,2025-08-26 12:55:06.700282,La Libertad,Supermercado,Nublado,Alto,50,13
248,2025-03-29 01:25:53.154916,San Miguel,Restaurante,Soleado,Bajo,21,0
249,2025-08-02 13:57:19.881756,Santa Ana,Restaurante,Lluvioso,Bajo,36,10
250,2025-08-15 08:02:43.685034,San Salvador,Supermercado,Soleado,Alto,55,29
251,2025-03-08 03:33:38.410971,Santa Ana,Tienda en línea,Soleado,Bajo,27,0
252,2025-05-12 06:16:17.954294,Santa Ana,Farmacia,Nublado,Medio,31,8
253,2025-07-17 02:06:53.352886,San Miguel,Farmacia,Nublado,Alto,32,0
254,2025-04-01 06:09:11.345822,La Libertad,Restaurante,Soleado,Alto,37,14
255,2025-08-10 09:00:27.458065,La Libertad,Restaurante,Soleado,Bajo,33,5
256,2025-04-07 16:55:00.832505,San Miguel,Supermercado,Lluvioso,Alto,66,34
257,2025-05-31 10:21:44.036010,San Miguel,Farmacia,Lluvioso,Alto,67,38
258,2025-03-03 22:53:36.033935,San Salvador,Farmacia,Lluvioso,Medio,38,17
259,2025-08-28 07:41:17.941425,San Salvador,Supermercado,Lluvioso,Medio,60,21
260,2025-05-01 20:28:24.712935,La Libertad,Restaurante,Lluvioso,Alto,53,21
261,2025-06-15 17:55:16.891901,Santa Ana,Farmacia,Lluvioso,Medio,34,13
262,2025-03-22 18:55:46.755414,San Salvador,Tienda en línea,Nublado,Medio,47,23
263,2025-03-12 21:25:31.835180,La Libertad,Supermercado,Lluvioso,Medio,52,16
264,2025-06-19 19:15:14.396787,Santa Ana,Farmacia,Lluvioso,Alto,45,17
265,2025-08-29 06:15:26.399015,Santa Ana,Restaurante,Soleado,Alto,36,14
266,2025-07-27 07:35:58.292448,La Libertad,Farmacia,Soleado,Bajo,22,0
267,2025-08-17 22:00:54.267474,Santa Ana,Farmacia,Soleado,Alto,31,8
268,2025-07-04 12:17:21.014810,San Miguel,Supermercado,Nublado,Alto,41,5
269,2025-04-11 21:50:18.034468,San Miguel,Restaurante,Soleado,Medio,30,0
270,2025-04-09 06:24:40.954613,San Salvador,Restaurante,Soleado,Alto,32,11
271,2025-06-20 02:18:45.314771,La Libertad,Supermercado,Lluvioso,Medio,52,12
272,2025-04-13 01:08:56.157012,La Libertad,Farmacia,Lluvioso,Medio,58,34
273,2025-08-03 17:32:30.131941,La Libertad,Farmacia,Nublado,Bajo,35,0
274,2025-04-29 00:54:51.578297,Santa Ana,Tienda en línea,Lluvioso,Alto,61,24
275,2025-06-15 19:22:30.227221,La Libertad,Farmacia,Soleado,Alto,45,14
276,2025-07-08 18:15:55.360521,San Miguel,Farmacia,Lluvioso,Bajo,59,19
277,2025-07-27 11:31:59.186896,La Libertad,Tienda en línea,Lluvioso,Bajo,50,25
278,2025-03-04 04:00:13.119853,San Miguel,Farmacia,Lluvioso,Alto,61,38
279,2025-08-02 02:52:52.130031,San Salvador,Restaurante,Nublado,Bajo,33,0
280,2025-08-07 11:19:43.851533,La Libertad,Restaurante,Nublado,Medio,42,11
281,2025-04-07 20:06:18.268317,Santa Ana,Supermercado,Lluvioso,Medio,68,34
282,2025-06-04 01:11:09.741453,Santa Ana,Tienda en línea,Soleado,Bajo,35,9
283,2025-05-15 23:12:06.642276,La Libertad,Restaurante,Nublado,Bajo,27,1
284,2025-03-13 04:17:56.360054,San Miguel,Tienda en línea,Lluvioso,Medio,47,16
285,2025-05-02 12:10:18.981419,San Miguel,Tienda en línea,Soleado,Medio,36,11
286,2025-08-11 07:38:16.114260,San Salvador,Tienda en línea,Nublado,Alto,64,29
287,2025-08-16 01:20:21.723156,Santa Ana,Tienda en línea,Lluvioso,Alto,44,7
288,2025-04-19 10:16:20.502835,Santa Ana,Restaurante,Lluvioso,Medio,64,30
289,2025-03-29 19:17:30.474692,San Salvador,Restaurante,Nublado,Bajo,37,11
290,2025-03-27 05:45:30.351399,La Libertad,Tienda en línea,Nublado,Medio,23,0
291,2025-04-19 04:07:04.216146,Santa Ana,Restaurante,Soleado,Bajo,33,8
292,2025-03-17 03:57:39.276153,San Salvador,Farmacia,Nublado,Bajo,32,9
293,2025-04-20 18:44:49.826089,Santa Ana,Tienda en línea,Soleado,Medio,50,14
294,2025-06-04 22:40:59.152106,La Libertad,Supermercado,Soleado,Bajo,23,0
295,2025-08-29 20:19:16.982413,La Libertad,Supermercado,Nublado,Bajo,26,0
296,2025-03-05 22:23:38.175338,San Salvador,Supermercado,Lluvioso,Bajo,51,24
297,2025-04-20 23:38:37.443746,San Miguel,Restaurante,Lluvioso,Alto,56,36
298,2025-03-16 07:04:38.941641,San Miguel,Farmacia,Soleado,Medio,27,0
299,2025-04-14 14:15:32.194695,San Miguel,Tienda en línea,Soleado,Bajo,22,0
300,2025-05-23 11:16:59.170216,Santa Ana,Tienda en línea,Soleado,Medio,30,0
301,2025-06-13 13:13:14.531437,Santa Ana,Restaurante,Lluvioso,Bajo,45,9
302,2025-08-01 03:03:54.075883,La Libertad,Tienda en línea,Soleado,Bajo,45,15
303,2025-08-29 14:58:07.219034,San Salvador,Restaurante,Nublado,Alto,42,6
304,2025-04-08 13:39:30.982059,La Libertad,Restaurante,Soleado,Medio,39,13
305,2025-07-13 06:42:03.488950,San Salvador,Farmacia,Nublado,Bajo,37,3
306,2025-04-14 09:45:07.763089,San Salvador,Supermercado,Soleado,Bajo,16,0
307,2025-04-01 20:26:21.917242,Santa Ana,Farmacia,Nublado,Alto,62,32
308,2025-08-17 01:23:33.340294,La Libertad,Restaurante,Nublado,Alto,50,20
309,2025-08-06 19:05:10.511395,La Libertad,Restaurante,Lluvioso,Bajo,20,0
310,2025-06-26 11:25:57.597174,San Miguel,Farmacia,Soleado,Bajo,37,0
311,2025-03-10 07:22:32.949284,Santa Ana,Restaurante,Soleado,Medio,27,0
